item_name,item_category,city,base_price,production_cost,fair_wage_multiplier,sustainability_score,local_demand_index,market_avg_price_city,profit_margin_standard,regulatory_adjustment,marketplace
Headphones,Electronics,Delhi,1157.29,757.64,1.11,3.5,0.73,1181.32,0.14,18.05,Offline Store
Smartwatch,Electronics,Bangalore,1516.77,939.66,1.38,3.9,0.5,1488.19,0.26,18.6,Offline Store
Dry Fruits,Groceries,Pune,1493.08,1010.89,1.39,4.7,0.39,1343.93,0.14,11.73,Offline Store
Biography,Books,Pune,612.58,367.62,1.13,6,0.3,583.32,0.11,22.74,Amazon
Yoga Mat,Fitness Equipment,Lucknow,773.18,420.63,1.47,9,0.64,796.34,0.25,12.13,Amazon
Dumbbells,Fitness Equipment,Kolkata,1443.8,860.65,1.29,5.4,0.93,1584.23,0.24,14.6,Flipkart
Textbook,Books,Bangalore,1527.92,922.52,1.35,3.9,0.92,1446.26,0.18,13.56,Own Brand Website
Exercise Bike,Fitness Equipment,Hyderabad,392.14,159.74,1.56,8.2,0.31,406.87,0.13,23.1,Amazon
Remote Car,Toys,Lucknow,1059.84,734.85,1.29,8.2,0.33,1152.16,0.21,12.86,Offline Store
Sweatshirt,Clothing,Kolkata,341.1,202.02,1.46,3.6,0.41,333.28,0.27,29.57,Offline Store
Puzzle,Toys,Lucknow,1515.55,608.76,1.55,3.2,0.88,1488.37,0.25,7.18,Amazon
Jacket,Clothing,Pune,413.36,221.24,1.07,5.7,0.79,426.15,0.17,5.22,Flipkart
Resistance Bands,Fitness Equipment,Ahmedabad,612.39,387.56,1.24,5.6,0.35,624.84,0.22,15.77,Amazon
Cold Pressed Oil,Groceries,Ahmedabad,1545.08,1024.48,1.46,6.8,0.91,1508.68,0.23,19.38,Offline Store
Action Figure,Toys,Chennai,1698.98,934.23,1.35,6.2,0.39,1830.29,0.27,22.56,Amazon
Boots,Footwear,Ahmedabad,760.8,385.37,1.07,3.5,0.63,692.3,0.12,11.28,Amazon
Face Wash,Cosmetics,Mumbai,810.01,442.92,1.23,9.6,0.92,738.09,0.3,9.32,Amazon
Sandals,Footwear,Chennai,729.61,475.05,1.43,3.4,0.8,753.43,0.29,27.75,Own Brand Website
Treadmill,Fitness Equipment,Mumbai,1952.93,1047.68,1.44,9.7,0.3,2065.78,0.11,29.97,Own Brand Website
Puzzle,Toys,Bangalore,126.38,71.58,1.34,5.1,0.78,120.24,0.16,9.51,Own Brand Website
Self-Help Book,Books,Ahmedabad,1456.73,657,1.54,5,0.64,1449.47,0.24,10.85,Own Brand Website
Honey,Groceries,Chennai,1693.41,1052.23,1.24,3.8,0.63,1856.16,0.1,26.12,Own Brand Website
Sandals,Footwear,Ahmedabad,1429.55,650.38,1.31,7.4,0.75,1550.02,0.27,13.21,Offline Store
Self-Help Book,Books,Hyderabad,328.07,141.49,1.58,9.7,0.83,359.6,0.15,25.64,Own Brand Website
Green Tea,Groceries,Mumbai,1054.24,674.47,1.39,8.9,0.56,1157.37,0.14,21.82,Own Brand Website
Sweatshirt,Clothing,Kolkata,1624.9,935.5,1.21,6.9,0.63,1524.2,0.25,11.68,Flipkart
Kurta,Clothing,Bangalore,1681.01,780.49,1.33,7.9,0.95,1604.02,0.23,8.83,Offline Store
Board Game,Toys,Jaipur,1657.32,1091.24,1.54,9.6,0.53,1712.49,0.16,25.1,Flipkart
Remote Car,Toys,Lucknow,889.63,503.95,1.12,9,0.61,914.62,0.23,11.86,Own Brand Website
Air Fryer,Kitchen Appliances,Ahmedabad,1610.47,1046.66,1.33,9.3,0.4,1582.91,0.11,14.96,Amazon
Air Fryer,Kitchen Appliances,Chennai,1994.37,1074.87,1.28,7.8,0.33,1936.04,0.21,17.1,Flipkart
Biography,Books,Mumbai,1320.71,583.33,1.27,7.4,0.5,1350.53,0.29,28.26,Flipkart
Biography,Books,Lucknow,1478.48,670.18,1.48,6.1,0.92,1511.43,0.14,12.81,Amazon
Sunscreen,Cosmetics,Pune,706.21,341.02,1.47,5.4,0.43,719.78,0.19,5.55,Own Brand Website
Honey,Groceries,Bangalore,630.32,259.35,1.47,9.7,0.63,637.65,0.27,5.47,Own Brand Website
Curtain,Home Decor,Mumbai,408.42,243.54,1.46,7.4,0.91,399.63,0.21,28.91,Amazon
Doll,Toys,Pune,1809.32,740.45,1.24,8.2,0.3,1940.67,0.2,7.16,Amazon
Textbook,Books,Hyderabad,940.68,515.29,1.25,6.2,0.88,907.58,0.29,22.18,Offline Store
Remote Car,Toys,Jaipur,1802.43,833.97,1.32,7,0.36,1800.14,0.27,6.3,Own Brand Website
Face Wash,Cosmetics,Ahmedabad,1320.38,919.81,1.34,5.1,0.68,1331.32,0.12,10.36,Amazon
Textbook,Books,Lucknow,1371.86,792.62,1.24,9.8,0.72,1298,0.19,22.79,Amazon
Yoga Mat,Fitness Equipment,Pune,1376.77,652.45,1.41,5.3,0.6,1423.35,0.22,22.82,Flipkart
Children Book,Books,Kolkata,825.49,516.43,1.06,4.3,0.93,757.26,0.23,27.92,Amazon
Board Game,Toys,Kolkata,1733.14,1167.84,1.59,5.5,0.51,1601.72,0.14,21.32,Flipkart
Sneakers,Footwear,Delhi,729.18,366.3,1.41,3.7,0.34,773.34,0.26,14.63,Offline Store
Yoga Mat,Fitness Equipment,Kolkata,1226.83,578.36,1.25,3.3,0.48,1108.17,0.18,17.99,Offline Store
Resistance Bands,Fitness Equipment,Jaipur,1041.13,522.87,1.16,6.2,0.87,1141.75,0.16,29.36,Amazon
Doll,Toys,Jaipur,925.65,540.56,1.49,5.5,0.44,883.64,0.27,28.36,Flipkart
Wall Art,Home Decor,Ahmedabad,344.12,209.35,1.07,9.1,0.86,363.02,0.26,20.11,Amazon
Sweatshirt,Clothing,Delhi,379.88,256.18,1.13,4.6,0.58,379.73,0.12,24.04,Flipkart
Curtain,Home Decor,Lucknow,360.88,215.24,1.3,8.7,0.49,385.17,0.15,19.36,Amazon
Foundation,Cosmetics,Ahmedabad,1023.61,517.71,1.06,5.8,0.38,967.34,0.24,19.28,Own Brand Website
Lamp,Home Decor,Pune,1101.45,626.95,1.12,4.2,0.65,1080.93,0.19,26.98,Flipkart
Honey,Groceries,Chennai,451.81,304.16,1.52,9.3,0.72,484.7,0.3,16.79,Amazon
Mixer Grinder,Kitchen Appliances,Delhi,1737.44,1166.01,1.22,6.1,0.67,1685.02,0.16,14.52,Offline Store
Treadmill,Fitness Equipment,Lucknow,905.42,430.69,1.31,8.5,0.71,883.65,0.13,25.6,Amazon
Laptop,Electronics,Lucknow,1071.53,740.83,1.19,4.2,0.31,982.08,0.18,9.96,Own Brand Website
Textbook,Books,Mumbai,171.98,80.42,1.45,8.1,0.4,186.99,0.13,7.23,Flipkart
Smartphone,Electronics,Jaipur,409.58,181.1,1.4,4.1,0.71,391.28,0.15,27.43,Flipkart
Toaster,Kitchen Appliances,Lucknow,507.23,334.45,1.22,9.9,0.94,540.46,0.27,25.58,Amazon
Dry Fruits,Groceries,Kolkata,1296.33,833.16,1.4,8.9,0.91,1362.01,0.29,16.21,Own Brand Website
Smartphone,Electronics,Bangalore,1858.24,869.41,1.07,3.9,0.4,1978.81,0.18,10.83,Amazon
Lamp,Home Decor,Lucknow,1643.31,756.97,1.09,6.3,0.35,1570.66,0.24,14.36,Amazon
Flip Flops,Footwear,Pune,266.21,138.67,1.33,4.8,0.41,280.14,0.11,28.92,Offline Store
Children Book,Books,Chennai,114.44,68.13,1.12,6.8,0.42,103.78,0.27,15.6,Flipkart
Table Clock,Home Decor,Chennai,622.92,426.19,1.1,5.4,0.42,684.12,0.21,25.31,Flipkart
Microwave Oven,Kitchen Appliances,Ahmedabad,410.71,201.79,1.39,4.2,0.63,446.16,0.29,13.87,Own Brand Website
Green Tea,Groceries,Jaipur,1080.67,496.59,1.59,6.6,0.43,1155.18,0.18,20.9,Own Brand Website
Self-Help Book,Books,Ahmedabad,1702.78,839.06,1.37,3.4,0.45,1579.76,0.23,11.37,Offline Store
Curtain,Home Decor,Jaipur,1543.97,970.14,1.48,3.9,0.64,1599.28,0.16,11.5,Own Brand Website
Jeans,Clothing,Mumbai,1464.12,739.95,1.19,6.9,0.7,1545.17,0.11,9.36,Flipkart
Remote Car,Toys,Bangalore,1576.77,882.3,1.49,6.1,0.6,1538.16,0.24,19.76,Amazon
Doll,Toys,Hyderabad,846.19,386.09,1.05,3.6,0.37,857.93,0.25,16.42,Amazon
Self-Help Book,Books,Kolkata,887.09,389.99,1.55,8.1,0.57,815.59,0.27,9.24,Amazon
Sandals,Footwear,Hyderabad,1379.42,692.31,1.52,7.1,0.45,1244.97,0.14,14.13,Flipkart
Biography,Books,Lucknow,1445.93,672.12,1.19,6,0.33,1523.55,0.12,23.43,Flipkart
Cold Pressed Oil,Groceries,Jaipur,609.13,327.7,1.28,4.8,0.47,663.84,0.16,9.58,Flipkart
Board Game,Toys,Pune,575.94,350.49,1.22,4.2,0.57,531.89,0.18,26.56,Offline Store
Doll,Toys,Hyderabad,808.53,448.12,1.48,6.6,0.33,762.42,0.28,25.05,Own Brand Website
Yoga Mat,Fitness Equipment,Bangalore,1545.27,871.9,1.24,7.9,0.73,1589.39,0.2,11.48,Offline Store
Board Game,Toys,Jaipur,927.32,513.4,1.17,4.6,0.81,893.89,0.29,15.91,Offline Store
Puzzle,Toys,Ahmedabad,1256.63,692.63,1.32,9.2,0.36,1217.86,0.16,13.15,Offline Store
Yoga Mat,Fitness Equipment,Mumbai,1833.92,772.02,1.21,8.2,0.46,1956.1,0.17,7.83,Own Brand Website
Kurta,Clothing,Pune,1086.51,601.28,1.07,8,0.39,1024.24,0.21,27.27,Flipkart
Resistance Bands,Fitness Equipment,Lucknow,139.19,90.03,1.46,4.1,0.54,150.49,0.13,7.78,Offline Store
Formal Shoes,Footwear,Chennai,1496.9,810.23,1.21,4.2,0.77,1478.79,0.15,28.58,Amazon
Boots,Footwear,Hyderabad,1166.02,589.97,1.45,6.5,0.31,1245.46,0.11,29.73,Amazon
Mixer Grinder,Kitchen Appliances,Bangalore,764.5,426.17,1.6,4.9,0.6,803.47,0.19,13.35,Amazon
Organic Rice,Groceries,Chennai,329.2,182.35,1.35,4.6,0.52,315.94,0.19,24.96,Amazon
Kurta,Clothing,Delhi,731.9,352.58,1.51,8.7,0.82,767.44,0.28,22.83,Amazon
Perfume,Cosmetics,Chennai,421.86,172.92,1.15,5.6,0.33,443.54,0.23,22.95,Flipkart
Rug,Home Decor,Mumbai,282,140.61,1.3,7.2,0.82,308.9,0.12,21.04,Flipkart
Textbook,Books,Ahmedabad,356.23,174.54,1.47,10,0.64,345.77,0.14,24.56,Amazon
Honey,Groceries,Pune,1817.07,1189.41,1.33,7.1,0.84,1972.92,0.29,22.24,Flipkart
Sandals,Footwear,Mumbai,464.2,229.27,1.2,4.2,0.46,498.54,0.25,6.09,Amazon
Dumbbells,Fitness Equipment,Kolkata,380.64,264.72,1.17,7.4,0.43,360.36,0.2,17.19,Flipkart
Smartphone,Electronics,Mumbai,1327.73,598.09,1.19,7.4,0.36,1436.42,0.14,15.96,Amazon
Flip Flops,Footwear,Chennai,306.44,185.53,1.23,3.5,0.69,335.9,0.27,22.57,Own Brand Website
Biography,Books,Hyderabad,124.03,81.61,1.54,3.3,0.38,122.83,0.18,12.36,Amazon
Rug,Home Decor,Mumbai,476.05,268.84,1.47,9.6,0.5,495.4,0.26,16.95,Amazon
Smartwatch,Electronics,Chennai,1850.08,752.79,1.55,9.2,0.39,1827.67,0.2,15.05,Flipkart
Smartwatch,Electronics,Kolkata,1801.56,1105.97,1.12,9.5,0.33,1836.03,0.2,6.81,Offline Store
Kurta,Clothing,Hyderabad,1422.1,979.5,1.3,6.6,0.55,1528.82,0.29,14.93,Amazon
Lipstick,Cosmetics,Ahmedabad,1792.66,826.97,1.3,4.8,0.45,1920.66,0.24,6.67,Flipkart
Board Game,Toys,Hyderabad,1539.08,880.17,1.48,7.2,0.55,1537.53,0.13,12.77,Offline Store
T-shirt,Clothing,Mumbai,142.43,74.33,1.1,7.6,0.89,149.29,0.14,17.68,Amazon
Honey,Groceries,Bangalore,1452.74,932.24,1.21,6.3,0.37,1518.51,0.19,6.04,Offline Store
Lipstick,Cosmetics,Jaipur,1105.9,704.92,1.07,5.8,0.61,1216.39,0.14,25.48,Flipkart
Face Wash,Cosmetics,Mumbai,377.25,260,1.22,4,0.55,340.67,0.12,17.4,Amazon
Fiction Novel,Books,Hyderabad,1887.19,1006.77,1.41,7.9,0.32,1820.04,0.3,5.18,Offline Store
Sandals,Footwear,Lucknow,993.33,646.89,1.21,10,0.62,1075.58,0.21,14.94,Offline Store
Fiction Novel,Books,Bangalore,1449.19,996.29,1.26,9.1,0.73,1414,0.11,12.79,Own Brand Website
Bluetooth Speaker,Electronics,Hyderabad,1679.45,719.72,1.36,6.6,0.73,1826.91,0.25,17.77,Own Brand Website
Mixer Grinder,Kitchen Appliances,Chennai,1677.68,1024.22,1.54,8.1,0.79,1538.1,0.1,28.89,Offline Store
Smartphone,Electronics,Jaipur,578.85,260.21,1.14,8.2,0.33,597.49,0.21,8.68,Amazon
Jacket,Clothing,Kolkata,357.35,157.16,1.19,7.5,0.43,368.79,0.29,26.55,Amazon
Bluetooth Speaker,Electronics,Hyderabad,1616.35,1106.78,1.39,8.4,0.8,1769.75,0.23,11.83,Amazon
Headphones,Electronics,Kolkata,471.78,232.12,1.47,7.6,0.44,505.73,0.3,23.93,Offline Store
Jeans,Clothing,Ahmedabad,218,128.24,1.57,5.2,0.68,206.1,0.28,26.75,Offline Store
Dumbbells,Fitness Equipment,Chennai,792.47,400.12,1.05,5.2,0.81,717.76,0.14,23.26,Offline Store
Doll,Toys,Pune,1331.18,926.5,1.26,3.9,0.73,1219.1,0.12,19.2,Offline Store
Jacket,Clothing,Chennai,996.75,477.53,1.31,9.1,0.77,987.74,0.16,19.55,Own Brand Website
Self-Help Book,Books,Kolkata,105.45,65.37,1.49,3.9,0.56,97.96,0.29,25.65,Offline Store
Sneakers,Footwear,Chennai,138.14,95.47,1.13,3.6,0.32,146.17,0.29,7.39,Flipkart
Face Wash,Cosmetics,Pune,1968.29,973.83,1.42,9.9,0.31,1986.71,0.23,14.28,Own Brand Website
Kurta,Clothing,Lucknow,308.95,181.15,1.08,9.5,0.6,334.3,0.27,5.09,Own Brand Website
Toaster,Kitchen Appliances,Delhi,972.52,648.03,1.25,5.3,0.75,1012.4,0.23,14.08,Offline Store
Sandals,Footwear,Delhi,220.89,149.52,1.22,8.6,0.53,220.66,0.17,7.03,Flipkart
Remote Car,Toys,Delhi,725.95,498.51,1.11,6.9,0.93,656.33,0.11,27.73,Amazon
Honey,Groceries,Jaipur,1497.56,844.02,1.35,9.8,0.31,1428.81,0.16,7.99,Amazon
Fiction Novel,Books,Kolkata,778.73,398.03,1.58,6.1,0.91,827.02,0.25,13.26,Amazon
Headphones,Electronics,Ahmedabad,911.26,376.69,1.26,9.1,0.81,967.46,0.14,10.25,Own Brand Website
Boots,Footwear,Mumbai,1360.35,809.93,1.16,8,0.54,1465.59,0.17,10.75,Flipkart
Biography,Books,Jaipur,472.15,316.09,1.52,6,0.46,451.8,0.18,6.11,Offline Store
Sneakers,Footwear,Chennai,227.86,154.54,1.47,8.7,0.61,221.71,0.12,18.95,Own Brand Website
Organic Rice,Groceries,Chennai,1512.38,693.84,1.26,9.5,0.85,1602.61,0.11,9.14,Own Brand Website
Perfume,Cosmetics,Chennai,681.48,334.67,1.12,5,0.58,620.05,0.18,17.41,Flipkart
Biography,Books,Mumbai,177.78,107.07,1.09,7.5,0.95,162.16,0.15,8.23,Amazon
Sneakers,Footwear,Delhi,801.54,521.46,1.56,8.9,0.75,836.36,0.12,11.22,Own Brand Website
Laptop,Electronics,Ahmedabad,791.4,328.46,1.5,4.8,0.33,723.83,0.29,27.8,Offline Store
Sunscreen,Cosmetics,Jaipur,1921.61,1320.17,1.49,4.9,0.51,1883.95,0.26,28.17,Own Brand Website
Resistance Bands,Fitness Equipment,Mumbai,936.59,459.34,1.18,4.8,0.3,886.79,0.16,24.39,Own Brand Website
Face Wash,Cosmetics,Delhi,1142.2,570.33,1.38,8.5,0.7,1044.03,0.15,12.15,Offline Store
Exercise Bike,Fitness Equipment,Delhi,789.57,321.66,1.46,6.3,0.88,792.36,0.3,22.52,Own Brand Website
Lipstick,Cosmetics,Ahmedabad,1785.05,1235.23,1.31,7.4,0.89,1811.93,0.11,22.42,Offline Store
Mixer Grinder,Kitchen Appliances,Ahmedabad,1877.9,1191.25,1.49,3.6,0.78,1702.22,0.29,27.86,Amazon
Kurta,Clothing,Jaipur,1962.53,963.52,1.35,7.1,0.66,1928.06,0.3,27.17,Amazon
Green Tea,Groceries,Pune,1259.67,748.65,1.44,7.2,0.76,1339.41,0.3,26.23,Own Brand Website
Resistance Bands,Fitness Equipment,Bangalore,345.77,194.99,1.4,4.9,0.61,375.69,0.15,12.93,Flipkart
Resistance Bands,Fitness Equipment,Pune,1825.75,781.99,1.53,5.1,0.62,1877.91,0.23,29.5,Offline Store
Smartphone,Electronics,Kolkata,166.07,101.49,1.52,7.1,0.93,163.34,0.25,22.16,Own Brand Website
Smartwatch,Electronics,Delhi,159.59,90.3,1.19,6.7,0.87,163.74,0.22,21.81,Own Brand Website
T-shirt,Clothing,Ahmedabad,1103.8,589.8,1.26,7.9,0.8,1086.85,0.11,18.58,Offline Store
T-shirt,Clothing,Ahmedabad,1189.9,646.95,1.25,9.3,0.61,1261.05,0.23,24.68,Own Brand Website
Headphones,Electronics,Mumbai,1767.57,836.06,1.51,8,0.66,1783.47,0.16,18.52,Amazon
Remote Car,Toys,Jaipur,830.26,553.49,1.37,5.1,0.39,862.47,0.23,14,Own Brand Website
Perfume,Cosmetics,Chennai,408.13,250.94,1.2,9,0.77,440.16,0.3,13.53,Own Brand Website
Boots,Footwear,Pune,1057.72,551.21,1.09,5.8,0.59,988.63,0.28,12.31,Amazon
Toaster,Kitchen Appliances,Ahmedabad,1541.3,651.79,1.07,10,0.38,1623.25,0.22,16.32,Offline Store
Kurta,Clothing,Pune,170.15,84.83,1.55,9.3,0.69,172.69,0.19,24.39,Offline Store
Lipstick,Cosmetics,Lucknow,1777.6,1099.01,1.34,7.4,0.44,1952.24,0.29,28.92,Flipkart
Perfume,Cosmetics,Hyderabad,417.01,248.47,1.41,5.5,0.86,440.56,0.24,5.72,Own Brand Website
Yoga Mat,Fitness Equipment,Chennai,1982.07,1219.99,1.58,3.6,0.75,2079.12,0.11,6.61,Flipkart
Sweatshirt,Clothing,Bangalore,1548.31,989.84,1.55,8.4,0.46,1693.45,0.15,23.18,Amazon
Formal Shoes,Footwear,Ahmedabad,1105.81,482.9,1.56,7.1,0.36,1080.01,0.25,20.46,Flipkart
Flip Flops,Footwear,Ahmedabad,524.64,299.48,1.22,6.7,0.51,524.25,0.27,10.3,Flipkart
Rug,Home Decor,Ahmedabad,103.4,46.17,1.51,5.9,0.78,93.7,0.13,19.22,Own Brand Website
Sweatshirt,Clothing,Lucknow,1468.58,934.55,1.4,8.3,0.41,1515.04,0.19,27.87,Amazon
Lipstick,Cosmetics,Kolkata,1269.04,713.84,1.37,8.8,0.31,1360.48,0.11,19.57,Own Brand Website
Dry Fruits,Groceries,Pune,1054.93,539.18,1.12,3.9,0.78,973.38,0.24,29.76,Amazon
Laptop,Electronics,Bangalore,1395.59,589.73,1.35,8.8,0.92,1459.13,0.16,11.28,Own Brand Website
Self-Help Book,Books,Mumbai,1589.26,998.21,1.32,3.6,0.74,1618.01,0.1,21.06,Flipkart
Fiction Novel,Books,Mumbai,351.52,227.7,1.42,3.4,0.65,372.99,0.27,7.13,Amazon
Face Wash,Cosmetics,Ahmedabad,249.92,158.07,1.18,7.2,0.7,256.41,0.17,6,Amazon
Smartwatch,Electronics,Bangalore,1121.22,621.72,1.29,5,0.85,1092.09,0.13,23.95,Amazon
Self-Help Book,Books,Ahmedabad,1308.93,644.97,1.13,6.1,0.34,1236.35,0.29,8.76,Amazon
Curtain,Home Decor,Kolkata,622.46,274.94,1.55,9.5,0.34,672.04,0.13,14.93,Own Brand Website
Yoga Mat,Fitness Equipment,Kolkata,1213.96,653.99,1.12,8.5,0.75,1321.08,0.17,15.76,Amazon
Biography,Books,Pune,764.53,320.26,1.08,8.3,0.49,762.56,0.3,5.44,Amazon
Biography,Books,Bangalore,1083.54,601.87,1.6,8.8,0.34,1009.23,0.11,9.92,Offline Store
Flip Flops,Footwear,Pune,503.43,214.95,1.34,9.8,0.82,473.56,0.26,29.56,Flipkart
Fiction Novel,Books,Bangalore,1686.94,911.96,1.2,8.2,0.81,1618.4,0.14,21.8,Own Brand Website
Rug,Home Decor,Jaipur,1788.02,726.32,1.59,4.3,0.53,1628.15,0.11,11.82,Offline Store
Lamp,Home Decor,Mumbai,1173.54,786.65,1.09,6.8,0.57,1288.37,0.14,14.24,Flipkart
Face Wash,Cosmetics,Chennai,163.57,110.29,1.39,7.1,0.33,150.45,0.26,18.74,Own Brand Website
Sweatshirt,Clothing,Mumbai,478.12,270.11,1.58,3.7,0.93,504.43,0.13,25.37,Offline Store
Treadmill,Fitness Equipment,Mumbai,1513.64,866.07,1.48,4,0.77,1556.3,0.16,22.26,Offline Store
Toaster,Kitchen Appliances,Hyderabad,1389.82,655.59,1.13,5.5,0.56,1479.92,0.19,23.41,Offline Store
Headphones,Electronics,Hyderabad,979.13,411.37,1.41,9.3,0.64,1018.7,0.26,16.68,Own Brand Website
Smartphone,Electronics,Mumbai,574.62,378.11,1.51,9,0.84,532.46,0.18,9.79,Amazon
Biography,Books,Kolkata,394.86,250.52,1.31,3.6,0.56,433.82,0.14,14.93,Own Brand Website
Electric Kettle,Kitchen Appliances,Hyderabad,1229.57,565.45,1.58,7.4,0.45,1216.44,0.17,8.06,Flipkart
T-shirt,Clothing,Chennai,640.75,362.74,1.1,3.3,0.65,632.3,0.14,22.82,Offline Store
Jeans,Clothing,Kolkata,266.97,128.44,1.11,8.1,0.71,250.34,0.21,22.41,Offline Store
Sweatshirt,Clothing,Lucknow,164.92,98.78,1.22,3.9,0.83,168.42,0.21,25.91,Offline Store
Kurta,Clothing,Chennai,603.71,244.04,1.57,4.8,0.71,661.31,0.15,29.82,Flipkart
Puzzle,Toys,Lucknow,1123.45,772.59,1.1,6.7,0.91,1046.05,0.16,10.31,Amazon
Cold Pressed Oil,Groceries,Ahmedabad,1934.35,926.67,1.12,8.6,0.63,1969.13,0.22,20.33,Amazon
Flip Flops,Footwear,Hyderabad,963.11,667.12,1.15,9.7,0.49,903.38,0.23,27.3,Amazon
Dry Fruits,Groceries,Mumbai,789.55,333.69,1.35,9.9,0.55,713.75,0.2,14.59,Flipkart
Doll,Toys,Lucknow,226.7,150.18,1.39,4.1,0.9,230.16,0.24,19.59,Amazon
Sunscreen,Cosmetics,Pune,1958.87,1306.94,1.06,3.1,0.62,1886.02,0.21,13.46,Own Brand Website
Sneakers,Footwear,Hyderabad,1768.59,797.53,1.08,5.4,0.39,1800.96,0.19,22.7,Amazon
Jacket,Clothing,Mumbai,238.31,149.26,1.2,7.7,0.49,254.22,0.27,12.66,Amazon
Exercise Bike,Fitness Equipment,Kolkata,1828.15,907.33,1.54,4.4,0.49,1968.62,0.12,22.54,Offline Store
Sandals,Footwear,Ahmedabad,1395.78,965.39,1.58,6.4,0.73,1299.69,0.15,18.96,Flipkart
Air Fryer,Kitchen Appliances,Mumbai,551.42,256.44,1.06,3.5,0.76,497.86,0.28,6.97,Own Brand Website
Sunscreen,Cosmetics,Chennai,397.49,199.58,1.45,7.9,0.46,383.74,0.26,17.42,Amazon
Self-Help Book,Books,Jaipur,970.58,572.68,1.3,6,0.82,1054.33,0.21,12.23,Flipkart
Electric Kettle,Kitchen Appliances,Mumbai,1904.44,1162.82,1.41,7.2,0.78,2009.42,0.26,29.4,Offline Store
Face Wash,Cosmetics,Kolkata,881.28,416.66,1.27,8.4,0.65,945.56,0.15,23.43,Flipkart
Lipstick,Cosmetics,Kolkata,573.77,367.06,1.29,9.9,0.73,601.51,0.11,22.58,Flipkart
Electric Kettle,Kitchen Appliances,Delhi,895.76,445.14,1.49,4.6,0.42,869.84,0.23,11.43,Own Brand Website
Sneakers,Footwear,Delhi,1161.33,598.61,1.27,4.4,0.51,1108.8,0.15,7.02,Flipkart
Formal Shoes,Footwear,Chennai,922.83,436.87,1.58,7.2,0.6,892.93,0.19,13.54,Offline Store
Smartphone,Electronics,Ahmedabad,1728.03,823.84,1.2,8,0.89,1790.28,0.12,27.47,Offline Store
Sneakers,Footwear,Kolkata,1561.72,737,1.08,8,0.45,1569.16,0.12,19.2,Amazon
Table Clock,Home Decor,Delhi,140.8,78.88,1.51,7.1,0.88,142.18,0.24,14.16,Own Brand Website
Headphones,Electronics,Mumbai,663.92,332.46,1.11,4.8,0.55,642.88,0.2,17.21,Own Brand Website
Bluetooth Speaker,Electronics,Delhi,1497.26,776.66,1.42,9.2,0.6,1513.26,0.24,17.35,Flipkart
T-shirt,Clothing,Ahmedabad,410.08,200.15,1.07,7.8,0.48,436.62,0.23,23.4,Own Brand Website
Jacket,Clothing,Kolkata,1776.68,937.57,1.15,9.5,0.95,1676.46,0.25,6.81,Amazon
Boots,Footwear,Lucknow,152.19,91.7,1.19,9.1,0.63,160.77,0.12,26.86,Flipkart
Lamp,Home Decor,Ahmedabad,460.88,262.92,1.39,3.5,0.94,442.65,0.24,20.79,Offline Store
Dumbbells,Fitness Equipment,Pune,162.86,107.28,1.22,4.7,0.34,154.73,0.22,10.02,Own Brand Website
Board Game,Toys,Jaipur,986.35,631.18,1.58,7.9,0.43,963.3,0.21,26.79,Offline Store
Dumbbells,Fitness Equipment,Mumbai,1140.67,624.39,1.19,6.5,0.51,1155.38,0.26,28.64,Flipkart
Formal Shoes,Footwear,Hyderabad,1638.24,1062.38,1.25,7.9,0.55,1482.36,0.28,6.31,Amazon
Fiction Novel,Books,Kolkata,319.5,129.56,1.09,3.4,0.74,342.09,0.26,20.66,Offline Store
Rug,Home Decor,Mumbai,1593.39,855.6,1.55,6.2,0.32,1657.91,0.27,10.61,Offline Store
Laptop,Electronics,Chennai,703.91,428.32,1.37,9.2,0.61,728.19,0.15,28.24,Amazon
Rug,Home Decor,Hyderabad,802.62,450.96,1.39,4.8,0.51,803.01,0.15,8.25,Own Brand Website
Yoga Mat,Fitness Equipment,Bangalore,1689.52,840.4,1.28,6.8,0.85,1567.98,0.23,13.78,Own Brand Website
Mixer Grinder,Kitchen Appliances,Lucknow,1752.14,1048.41,1.13,5.1,0.32,1846.95,0.18,6.22,Flipkart
Biography,Books,Lucknow,125.57,86.22,1.52,5.3,0.64,127.48,0.2,12.7,Own Brand Website
Rug,Home Decor,Chennai,842.09,382.6,1.07,4.1,0.31,830.82,0.23,9.52,Flipkart
Textbook,Books,Hyderabad,1114.44,554.42,1.12,3.9,0.7,1029.23,0.21,9.77,Amazon
Cold Pressed Oil,Groceries,Lucknow,1745.65,724.43,1.26,8.3,0.79,1621.63,0.14,18.66,Own Brand Website
Boots,Footwear,Jaipur,1400.08,876.01,1.39,8.5,0.59,1417.05,0.19,24.02,Amazon
Sneakers,Footwear,Jaipur,432.14,205.58,1.51,8,0.78,397.49,0.2,19.11,Own Brand Website
Bluetooth Speaker,Electronics,Pune,1581.85,833.11,1.35,4.7,0.84,1712.79,0.19,15.93,Flipkart
Headphones,Electronics,Ahmedabad,723.7,347.41,1.35,4.2,0.68,732.58,0.24,10.64,Offline Store
Self-Help Book,Books,Hyderabad,1433.72,580.77,1.34,8.9,0.77,1534.32,0.13,22.97,Amazon
Foundation,Cosmetics,Mumbai,991.24,492.6,1.25,3.7,0.75,1017.39,0.13,18.61,Own Brand Website
